Course_Name,Professor_Name,Median_Score
Accounting ACCTG 321 A,Izzy Weber Lecturer SU17,4.64
Accounting ACCTG 321 A,Izzy Weber Lecturer AU17,4.71
Accounting ACCTG 321 A,Crystal Finkelstein Lecturer SP18,4.23
Accounting ACCTG 411 A,Thomas Phillips Lecturer SU17,5
Accounting ACCTG 411 A,Thomas Phillips Lecturer WI18,4.84
Accounting ACCTG 411 A,Thomas Phillips Lecturer SP18,4.72
Accounting ACCTG 411 A,Thomas Phillips Lecturer AU17,4.96
Accounting ACCTG 440 A,Asher Curtis Associate Professor WI18,3.63
Accounting ACCTG 440 A,Asher Curtis Associate Professor AU17,4.5
Accounting ACCTG 440 A,Andrew Kitto Assistant Professor SP18,2.75
Accounting ACCTG 440 B,Andrew Kitto Assistant Professor SP18,3.13
Accounting ACCTG 450 A,Steven Rice Other WI18,4.67
Accounting ACCTG 450 A,Crystal Finkelstein Lecturer SP18,4.3
Accounting ACCTG 471 A,Nancy Pasternack Lecturer WI18,3.76
Accounting ACCTG 471 A,Nancy Pasternack Lecturer AU17,4.14
Accounting ACCTG 471 A,Nancy Pasternack Lecturer SP18,4.25
Accounting ACCTG 480 A,Joseph Paperman Lecturer SP18,4.17
Accounting ACCTG 485 A,Jane Reich Lecturer WI18,4.8
Accounting ACCTG 490 A,Nancy Pasternack Lecturer SP18,4.25
Accounting ACCTG 500 A,Weili Ge Associate Professor AU17,4.7
Accounting ACCTG 500 C,Weili Ge Associate Professor AU17,4.68
Accounting ACCTG 501 A,Sarah Shaikh Assistant Professor SP18,2.8
Accounting ACCTG 501 C,Sarah Shaikh Assistant Professor SP18,2.86
Accounting ACCTG 502 A,Frank Hodge Professor AU17,4.69
Accounting ACCTG 505 A,David Burgstahler Professor SU17,4.17
Accounting ACCTG 505 A,D. Shores Associate Professor SU17,4.25
