159,4.71,Accounting ACCTG 320,Thomas Phillips ,WI18,4.755
160,4.76,Accounting ACCTG 320,Thomas Phillips ,SP18,4.755
161,4.8,Accounting ACCTG 320,Thomas Phillips ,AU17,4.755
162,4.74,Accounting ACCTG 321,Izzy Weber ,WI18,4.58
163,4.64,Accounting ACCTG 321,Izzy Weber ,SU17,4.58
164,4.71,Accounting ACCTG 321,Izzy Weber ,AU17,4.58
165,4.23,Accounting ACCTG 321,Crystal Finkelstein ,SP18,4.58
166,5,Accounting ACCTG 411,Thomas Phillips ,SU17,4.88
167,4.84,Accounting ACCTG 411,Thomas Phillips ,WI18,4.88
168,4.72,Accounting ACCTG 411,Thomas Phillips ,SP18,4.88
169,4.96,Accounting ACCTG 411,Thomas Phillips ,AU17,4.88
170,3.63,Accounting ACCTG 440,Asher Curtis ,WI18,3.5025
171,4.5,Accounting ACCTG 440,Asher Curtis ,AU17,3.5025
172,2.75,Accounting ACCTG 440,Andrew Kitto ,SP18,3.5025
173,3.13,Accounting ACCTG 440,Andrew Kitto ,SP18,3.5025
174,4.67,Accounting ACCTG 450,Steven Rice ,WI18,4.485
175,4.3,Accounting ACCTG 450,Crystal Finkelstein ,SP18,4.485
176,3.76,Accounting ACCTG 471,Nancy Pasternack ,WI18,4.05
177,4.14,Accounting ACCTG 471,Nancy Pasternack ,AU17,4.05
178,4.25,Accounting ACCTG 471,Nancy Pasternack ,SP18,4.05
179,4.17,Accounting ACCTG 480,Joseph Paperman ,SP18,4.17
180,4.8,Accounting ACCTG 485,Jane Reich ,WI18,4.8
181,4.25,Accounting ACCTG 490,Nancy Pasternack ,SP18,4.25
182,4.7,Accounting ACCTG 500,Weili Ge ,AU17,4.69
183,4.68,Accounting ACCTG 500,Weili Ge ,AU17,4.69
184,2.8,Accounting ACCTG 501,Sarah Shaikh ,SP18,2.83
185,2.86,Accounting ACCTG 501,Sarah Shaikh ,SP18,2.83
186,4.69,Accounting ACCTG 502,Frank Hodge ,AU17,4.69
187,4.17,Accounting ACCTG 505,David Burgstahler ,SU17,4.21
