id,Class_Name,Median_Score,Average_Score_By_Class,Professor_Name,Quarter
151,Accounting ACCTG 303,4.56,4.5875,Jane Reich ,AU17
152,Accounting ACCTG 303,4.58,4.5875,Stephanie Grant ,SP18
153,Accounting ACCTG 303,4.52,4.5875,Stephanie Grant ,SP18
154,Accounting ACCTG 311,3.8,4.125,Wendy Baesler ,WI18
155,Accounting ACCTG 311,3.75,4.125,Nancy Pasternack ,SU17
156,Accounting ACCTG 311,4.57,4.125,Wendy Baesler ,AU17
157,Accounting ACCTG 311,4.38,4.125,Wendy Baesler ,SP18
158,Accounting ACCTG 320,4.75,4.755,Thomas Phillips ,SU17
159,Accounting ACCTG 320,4.71,4.755,Thomas Phillips ,WI18
160,Accounting ACCTG 320,4.76,4.755,Thomas Phillips ,SP18
161,Accounting ACCTG 320,4.8,4.755,Thomas Phillips ,AU17
162,Accounting ACCTG 321,4.74,4.58,Izzy Weber ,WI18
163,Accounting ACCTG 321,4.64,4.58,Izzy Weber ,SU17
164,Accounting ACCTG 321,4.71,4.58,Izzy Weber ,AU17
165,Accounting ACCTG 321,4.23,4.58,Crystal Finkelstein ,SP18
166,Accounting ACCTG 411,5,4.88,Thomas Phillips ,SU17
167,Accounting ACCTG 411,4.84,4.88,Thomas Phillips ,WI18
168,Accounting ACCTG 411,4.72,4.88,Thomas Phillips ,SP18
169,Accounting ACCTG 411,4.96,4.88,Thomas Phillips ,AU17
170,Accounting ACCTG 440,3.63,3.5025,Asher Curtis ,WI18
171,Accounting ACCTG 440,4.5,3.5025,Asher Curtis ,AU17
172,Accounting ACCTG 440,2.75,3.5025,Andrew Kitto ,SP18
173,Accounting ACCTG 440,3.13,3.5025,Andrew Kitto ,SP18
174,Accounting ACCTG 450,4.67,4.485,Steven Rice ,WI18
175,Accounting ACCTG 450,4.3,4.485,Crystal Finkelstein ,SP18
176,Accounting ACCTG 471,3.76,4.05,Nancy Pasternack ,WI18
177,Accounting ACCTG 471,4.14,4.05,Nancy Pasternack ,AU17
178,Accounting ACCTG 471,4.25,4.05,Nancy Pasternack ,SP18
179,Accounting ACCTG 480,4.17,4.17,Joseph Paperman ,SP18
180,Accounting ACCTG 485,4.8,4.8,Jane Reich ,WI18
181,Accounting ACCTG 490,4.25,4.25,Nancy Pasternack ,SP18
182,Accounting ACCTG 500,4.7,4.69,Weili Ge ,AU17
183,Accounting ACCTG 500,4.68,4.69,Weili Ge ,AU17
184,Accounting ACCTG 501,2.8,2.83,Sarah Shaikh ,SP18
185,Accounting ACCTG 501,2.86,2.83,Sarah Shaikh ,SP18
186,Accounting ACCTG 502,4.69,4.69,Frank Hodge ,AU17
187,Accounting ACCTG 505,4.17,4.21,David Burgstahler ,SU17
